"","Country","Score","Rank"
"1","GBR",0.931,1
"2","USA",0.926,2
"3","FRA",0.918,3
"4","LTU",0.908,4
"5","EST",0.905,5
"6","SGP",0.898,6
"7","ESP",0.896,7
"8","MYS",0.893,8
"9","CAN",0.892,9
"10","NOR",0.892,9
"11","AUS",0.89,10
"12","LUX",0.886,11
"13","NLD",0.885,12
"14","SAU",0.881,13
"15","JPN",0.88,14
"16","MUS",0.88,14
"17","KOR",0.873,15
"18","OMN",0.868,16
"19","QAT",0.86,17
"20","GEO",0.857,18
"21","FIN",0.856,19
"22","TUR",0.853,20
"23","DNK",0.852,21
"24","DEU",0.849,22
"25","EGY",0.842,23
"26","HRV",0.84,24
"27","ITA",0.837,25
"28","RUS",0.836,26
"29","CHN",0.828,27
"30","AUT",0.826,28
"31","POL",0.815,29
"32","BEL",0.814,30
"33","HUN",0.812,31
"34","SWE",0.81,32
"35","ARE",0.807,33
"36","MKD",0.8,34
"37","THA",0.796,35
"38","NZL",0.789,36
"39","CHE",0.788,37
"40","IRL",0.784,38
"41","ISR",0.783,39
"42","KAZ",0.778,40
"43","IDN",0.776,41
"44","PRT",0.758,42
"45","MCO",0.751,43
"46","KEN",0.748,44
"47","LVA",0.748,44
"48","SVK",0.729,45
"49","BGR",0.721,46
"50","IND",0.719,47
"51","SVN",0.701,48
"52","RWA",0.697,49
"53","VNM",0.693,50
"54","URY",0.681,51
"55","UZB",0.666,52
"56","MDA",0.662,53
"57","UKR",0.661,54
"58","AZE",0.653,55
"59","ZAF",0.652,56
"60","CYP",0.652,56
"61","NGA",0.65,57
"62","PHL",0.643,58
"63","SRB",0.643,58
"64","TZA",0.642,59
"65","IRN",0.641,60
"66","MNE",0.639,61
"67","ALB",0.631,62
"68","MEX",0.629,63
"69","BRN",0.624,64
"70","UGA",0.621,65
"71","PRY",0.603,66
"72","KWT",0.6,67
"73","BHR",0.585,68
"74","BLR",0.578,69
"75","BRA",0.577,70
"76","CZE",0.569,71
"77","ROU",0.568,72
"78","COL",0.565,73
"79","JOR",0.556,74
"80","LIE",0.543,75
"81","TUN",0.536,76
"82","GRC",0.527,77
"83","BGD",0.525,78
"84","ARM",0.495,79
"85","BEN",0.485,80
"86","CUB",0.481,81
"87","MLT",0.479,82
"88","CHL",0.47,83
"89","LKA",0.466,84
"90","MNG",0.465,85
"91","CIV",0.456,86
"92","ISL",0.449,87
"93","BWA",0.44,88
"94","GHA",0.437,89
"95","ZMB",0.436,90
"96","CMR",0.432,91
"97","DOM",0.43,92
"98","MAR",0.429,93
"99","JAM",0.407,94
"100","PAK",0.407,94
"101","ARG",0.407,94
"102","PER",0.401,95
"103","BFA",0.4,96
"104","PAN",0.369,97
"105","WSM",0.367,98
"106","ECU",0.367,98
"107","VEN",0.354,99
"108","GAB",0.318,100
"109","PSE",0.307,101
"110","SEN",0.305,102
"111","SDN",0.294,103
"112","GMB",0.28,104
"113","ETH",0.278,105
"114","MWI",0.275,106
"115","TJK",0.263,107
"116","IRQ",0.263,107
"117","DZA",0.262,108
"118","NPL",0.26,109
"119","SYC",0.259,110
"120","KGZ",0.254,111
"121","GTM",0.251,112
"122","ATG",0.247,113
"123","SYR",0.237,114
"124","CRI",0.221,115
"125","TON",0.208,116
"126","LBY",0.206,117
"127","LBR",0.206,117
"128","BIH",0.204,118
"129","MDG",0.196,119
"130","LAO",0.195,120
"131","FJI",0.194,121
"132","GIN",0.191,122
"133","TTO",0.188,123
"134","ZWE",0.186,124
"135","LBN",0.186,124
"136","BTN",0.181,125
"137","AFG",0.177,126
"138","BRB",0.173,127
"139","MMR",0.172,128
"140","VCT",0.169,129
"141","COG",0.167,130
"142","KHM",0.161,131
"143","MOZ",0.158,132
"144","BHS",0.147,133
"145","GRD",0.143,134
"146","BOL",0.139,135
"147","SLE",0.138,136
"149","GUY",0.132,138
"150","PNG",0.131,139
"151","NIC",0.129,140
"152","BLZ",0.129,140
"153","NAM",0.127,141
"154","SLV",0.124,142
"155","TKM",0.115,143
"156","AND",0.115,143
"157","SUR",0.11,144
"158","MRT",0.107,145
"159","NRU",0.101,146
"160","TCD",0.098,147
"161","VUT",0.098,147
"162","AGO",0.097,148
"163","LCA",0.096,149
"164","NER",0.094,150
"165","BDI",0.087,151
"166","TGO",0.087,151
"167","MLI",0.085,152
"168","TLS",0.082,153
"169","SMR",0.075,154
"170","MHL",0.072,155
"171","SOM",0.07,156
"172","SSD",0.065,157
"173","KNA",0.065,157
"174","STP",0.064,158
"175","DJI",0.063,159
"176","SLB",0.061,160
"177","TUV",0.057,161
"178","GNB",0.055,162
"179","CPV",0.051,163
"180","LSO",0.051,163
"181","HTI",0.046,164
"182","HND",0.044,165
"183","FSM",0.04,166
"184","CAF",0.036,167
"185","GNQ",0.031,168
"186","KIR",0.028,169
"187","VAT",0.021,170
"188","ERI",0.02,171
"189","PRK",0.02,171
"190","DMA",0.019,172
"191","YEM",0.019,172
"192","COM",0.015,173
"193","COD",0.008,174
"194","MDV",0.004,175
